Local time,Open,High,Low,Close,Volume
04.09.2024 07:00:00.000 GMT+0200,174.537,174.537,174.537,174.537,0
04.09.2024 08:00:00.000 GMT+0200,174.537,174.537,174.537,174.537,0
04.09.2024 09:00:00.000 GMT+0200,174.537,174.537,174.537,174.537,0
04.09.2024 10:00:00.000 GMT+0200,174.537,174.537,174.537,174.537,0
04.09.2024 11:00:00.000 GMT+0200,174.537,174.537,174.537,174.537,0
04.09.2024 12:00:00.000 GMT+0200,174.537,174.537,174.537,174.537,0
04.09.2024 13:00:00.000 GMT+0200,174.537,174.537,174.537,174.537,0
04.09.2024 14:00:00.000 GMT+0200,174.537,174.537,174.537,174.537,0
04.09.2024 15:00:00.000 GMT+0200,173.697,175.576,173.697,175.346,191.1504
04.09.2024 16:00:00.000 GMT+0200,175.346,175.637,174.666,174.886,308.6774
04.09.2024 17:00:00.000 GMT+0200,174.886,175.457,174.886,175.187,185.5342
04.09.2024 18:00:00.000 GMT+0200,175.207,175.277,174.516,174.577,151.5171
04.09.2024 19:00:00.000 GMT+0200,174.577,174.916,174.196,174.847,158.7171
04.09.2024 20:00:00.000 GMT+0200,174.836,175.487,174.786,175.327,144.4288
04.09.2024 21:00:00.000 GMT+0200,175.337,175.987,174.957,175.856,227.481
04.09.2024 22:00:00.000 GMT+0200,175.856,175.856,175.856,175.856,0
04.09.2024 23:00:00.000 GMT+0200,175.856,175.856,175.856,175.856,0
05.09.2024 00:00:00.000 GMT+0200,175.856,175.856,175.856,175.856,0
05.09.2024 01:00:00.000 GMT+0200,175.856,175.856,175.856,175.856,0
05.09.2024 02:00:00.000 GMT+0200,175.856,175.856,175.856,175.856,0
05.09.2024 03:00:00.000 GMT+0200,175.856,175.856,175.856,175.856,0
05.09.2024 04:00:00.000 GMT+0200,175.856,175.856,175.856,175.856,0
05.09.2024 05:00:00.000 GMT+0200,175.856,175.856,175.856,175.856,0
05.09.2024 06:00:00.000 GMT+0200,175.856,175.856,175.856,175.856,0
05.09.2024 07:00:00.000 GMT+0200,175.856,175.856,175.856,175.856,0
05.09.2024 08:00:00.000 GMT+0200,175.856,175.856,175.856,175.856,0
05.09.2024 09:00:00.000 GMT+0200,175.856,175.856,175.856,175.856,0
05.09.2024 10:00:00.000 GMT+0200,175.856,175.856,175.856,175.856,0
05.09.2024 11:00:00.000 GMT+0200,175.856,175.856,175.856,175.856,0
05.09.2024 12:00:00.000 GMT+0200,175.856,175.856,175.856,175.856,0
05.09.2024 13:00:00.000 GMT+0200,175.856,175.856,175.856,175.856,0
05.09.2024 14:00:00.000 GMT+0200,175.856,175.856,175.856,175.856,0
05.09.2024 15:00:00.000 GMT+0200,175.726,176.536,175.386,176.147,136.2351
05.09.2024 16:00:00.000 GMT+0200,176.146,176.427,175.276,175.877,224.9594
05.09.2024 17:00:00.000 GMT+0200,175.876,176.097,175.086,175.306,174.0261
05.09.2024 18:00:00.000 GMT+0200,175.306,175.336,174.656,175.137,145.1189
05.09.2024 19:00:00.000 GMT+0200,175.116,175.526,174.816,175.297,177.9443
05.09.2024 20:00:00.000 GMT+0200,175.296,175.607,175.166,175.316,138.1216
05.09.2024 21:00:00.000 GMT+0200,175.316,175.577,174.936,175.437,284.3765
05.09.2024 22:00:00.000 GMT+0200,175.437,175.437,175.437,175.437,0
05.09.2024 23:00:00.000 GMT+0200,175.437,175.437,175.437,175.437,0
06.09.2024 00:00:00.000 GMT+0200,175.437,175.437,175.437,175.437,0
06.09.2024 01:00:00.000 GMT+0200,175.437,175.437,175.437,175.437,0
06.09.2024 02:00:00.000 GMT+0200,175.437,175.437,175.437,175.437,0
06.09.2024 03:00:00.000 GMT+0200,175.437,175.437,175.437,175.437,0
06.09.2024 04:00:00.000 GMT+0200,175.437,175.437,175.437,175.437,0
06.09.2024 05:00:00.000 GMT+0200,175.437,175.437,175.437,175.437,0
06.09.2024 06:00:00.000 GMT+0200,175.437,175.437,175.437,175.437,0
06.09.2024 07:00:00.000 GMT+0200,175.437,175.437,175.437,175.437,0
06.09.2024 08:00:00.000 GMT+0200,175.437,175.437,175.437,175.437,0
06.09.2024 09:00:00.000 GMT+0200,175.437,175.437,175.437,175.437,0
06.09.2024 10:00:00.000 GMT+0200,175.437,175.437,175.437,175.437,0
06.09.2024 11:00:00.000 GMT+0200,175.437,175.437,175.437,175.437,0
06.09.2024 12:00:00.000 GMT+0200,175.437,175.437,175.437,175.437,0
06.09.2024 13:00:00.000 GMT+0200,175.437,175.437,175.437,175.437,0
06.09.2024 14:00:00.000 GMT+0200,175.437,175.437,175.437,175.437,0
06.09.2024 15:00:00.000 GMT+0200,175.767,176.976,175.626,176.267,144.4702
06.09.2024 16:00:00.000 GMT+0200,176.267,176.516,175.516,175.987,486.4179
06.09.2024 17:00:00.000 GMT+0200,176.006,176.706,175.796,175.886,309.899
06.09.2024 18:00:00.000 GMT+0200,175.887,176.357,175.846,176.126,259.836
06.09.2024 19:00:00.000 GMT+0200,176.127,176.347,175.936,176.227,170.4279
06.09.2024 20:00:00.000 GMT+0200,176.227,176.467,176.116,176.437,206.1288
06.09.2024 21:00:00.000 GMT+0200,176.446,176.467,175.316,175.596,348.929
06.09.2024 22:00:00.000 GMT+0200,175.596,175.596,175.596,175.596,0
06.09.2024 23:00:00.000 GMT+0200,175.596,175.596,175.596,175.596,0
07.09.2024 00:00:00.000 GMT+0200,175.596,175.596,175.596,175.596,0
07.09.2024 01:00:00.000 GMT+0200,175.596,175.596,175.596,175.596,0
07.09.2024 02:00:00.000 GMT+0200,175.596,175.596,175.596,175.596,0
07.09.2024 03:00:00.000 GMT+0200,175.596,175.596,175.596,175.596,0
07.09.2024 04:00:00.000 GMT+0200,175.596,175.596,175.596,175.596,0
07.09.2024 05:00:00.000 GMT+0200,175.596,175.596,175.596,175.596,0
07.09.2024 06:00:00.000 GMT+0200,175.596,175.596,175.596,175.596,0
07.09.2024 07:00:00.000 GMT+0200,175.596,175.596,175.596,175.596,0
07.09.2024 08:00:00.000 GMT+0200,175.596,175.596,175.596,175.596,0
07.09.2024 09:00:00.000 GMT+0200,175.596,175.596,175.596,175.596,0
07.09.2024 10:00:00.000 GMT+0200,175.596,175.596,175.596,175.596,0
07.09.2024 11:00:00.000 GMT+0200,175.596,175.596,175.596,175.596,0
07.09.2024 12:00:00.000 GMT+0200,175.596,175.596,175.596,175.596,0
07.09.2024 13:00:00.000 GMT+0200,175.596,175.596,175.596,175.596,0
07.09.2024 14:00:00.000 GMT+0200,175.596,175.596,175.596,175.596,0
07.09.2024 15:00:00.000 GMT+0200,175.596,175.596,175.596,175.596,0
07.09.2024 16:00:00.000 GMT+0200,175.596,175.596,175.596,175.596,0
07.09.2024 17:00:00.000 GMT+0200,175.596,175.596,175.596,175.596,0
07.09.2024 18:00:00.000 GMT+0200,175.596,175.596,175.596,175.596,0
07.09.2024 19:00:00.000 GMT+0200,175.596,175.596,175.596,175.596,0
07.09.2024 20:00:00.000 GMT+0200,175.596,175.596,175.596,175.596,0
07.09.2024 21:00:00.000 GMT+0200,175.596,175.596,175.596,175.596,0
07.09.2024 22:00:00.000 GMT+0200,175.596,175.596,175.596,175.596,0
07.09.2024 23:00:00.000 GMT+0200,175.596,175.596,175.596,175.596,0
08.09.2024 00:00:00.000 GMT+0200,175.596,175.596,175.596,175.596,0
08.09.2024 01:00:00.000 GMT+0200,175.596,175.596,175.596,175.596,0
08.09.2024 02:00:00.000 GMT+0200,175.596,175.596,175.596,175.596,0
08.09.2024 03:00:00.000 GMT+0200,175.596,175.596,175.596,175.596,0
08.09.2024 04:00:00.000 GMT+0200,175.596,175.596,175.596,175.596,0
08.09.2024 05:00:00.000 GMT+0200,175.596,175.596,175.596,175.596,0
08.09.2024 06:00:00.000 GMT+0200,175.596,175.596,175.596,175.596,0
08.09.2024 07:00:00.000 GMT+0200,175.596,175.596,175.596,175.596,0
08.09.2024 08:00:00.000 GMT+0200,175.596,175.596,175.596,175.596,0
08.09.2024 09:00:00.000 GMT+0200,175.596,175.596,175.596,175.596,0
08.09.2024 10:00:00.000 GMT+0200,175.596,175.596,175.596,175.596,0
08.09.2024 11:00:00.000 GMT+0200,175.596,175.596,175.596,175.596,0
08.09.2024 12:00:00.000 GMT+0200,175.596,175.596,175.596,175.596,0
08.09.2024 13:00:00.000 GMT+0200,175.596,175.596,175.596,175.596,0
08.09.2024 14:00:00.000 GMT+0200,175.596,175.596,175.596,175.596,0
08.09.2024 15:00:00.000 GMT+0200,175.596,175.596,175.596,175.596,0
08.09.2024 16:00:00.000 GMT+0200,175.596,175.596,175.596,175.596,0
08.09.2024 17:00:00.000 GMT+0200,175.596,175.596,175.596,175.596,0
08.09.2024 18:00:00.000 GMT+0200,175.596,175.596,175.596,175.596,0
08.09.2024 19:00:00.000 GMT+0200,175.596,175.596,175.596,175.596,0
08.09.2024 20:00:00.000 GMT+0200,175.596,175.596,175.596,175.596,0
08.09.2024 21:00:00.000 GMT+0200,175.596,175.596,175.596,175.596,0
08.09.2024 22:00:00.000 GMT+0200,175.596,175.596,175.596,175.596,0
08.09.2024 23:00:00.000 GMT+0200,175.596,175.596,175.596,175.596,0
09.09.2024 00:00:00.000 GMT+0200,175.596,175.596,175.596,175.596,0
09.09.2024 01:00:00.000 GMT+0200,175.596,175.596,175.596,175.596,0
09.09.2024 02:00:00.000 GMT+0200,175.596,175.596,175.596,175.596,0
09.09.2024 03:00:00.000 GMT+0200,175.596,175.596,175.596,175.596,0
09.09.2024 04:00:00.000 GMT+0200,175.596,175.596,175.596,175.596,0
09.09.2024 05:00:00.000 GMT+0200,175.596,175.596,175.596,175.596,0
09.09.2024 06:00:00.000 GMT+0200,175.596,175.596,175.596,175.596,0
09.09.2024 07:00:00.000 GMT+0200,175.596,175.596,175.596,175.596,0
09.09.2024 08:00:00.000 GMT+0200,175.596,175.596,175.596,175.596,0
09.09.2024 09:00:00.000 GMT+0200,175.596,175.596,175.596,175.596,0
09.09.2024 10:00:00.000 GMT+0200,175.596,175.596,175.596,175.596,0
09.09.2024 11:00:00.000 GMT+0200,175.596,175.596,175.596,175.596,0
09.09.2024 12:00:00.000 GMT+0200,175.596,175.596,175.596,175.596,0
09.09.2024 13:00:00.000 GMT+0200,175.596,175.596,175.596,175.596,0
09.09.2024 14:00:00.000 GMT+0200,175.596,175.596,175.596,175.596,0
09.09.2024 15:00:00.000 GMT+0200,175.167,175.817,174.627,175.246,144.745
09.09.2024 16:00:00.000 GMT+0200,175.246,176.806,175.166,176.686,308.61
09.09.2024 17:00:00.000 GMT+0200,176.686,176.727,175.856,175.876,224.3405
09.09.2024 18:00:00.000 GMT+0200,175.897,176.327,175.827,176.026,133.6234
09.09.2024 19:00:00.000 GMT+0200,176.027,176.027,175.576,175.646,127.4198
